Latitude,Longitude,FacilityName,Street,City,County,State,ZIPCode,ParentName,StandardizedParentCompany,NAICS1
24.56295,-81.733895,KEYS ENERGY SERVICES,6900 FRONT ST EXTENDED,KEY WEST,MONROE,FL,33040,FLORIDA MUNICIPAL POWER AGENCY,FLORIDA MUNICIPAL POWER AGENCY,221112
26.085278,-80.126111,FPL PORT EVERGLADES ENERGY CENTER,8100 EISENHOWER BLVD,FORT LAUDERDALE,BROWARD,FL,33316,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221112
26.7653,-80.0528,FLORIDA POWER & LIGHT CO RIVIERA BEACH ENERGY CENTER,200-300 BROADWAY,RIVIERA BEACH,PALM BEACH,FL,33404,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221112
26.734722,-80.9375,US SUGAR CORP-CLEWISTON SUGAR HOUSE,1731 S W C.OWEN AVE,CLEWISTON,HENDRY,FL,33440,US SUGAR CORP,US SUGAR CORP,221310
26.482778,-80.088889,SOUTH CENTRAL REGIONAL WASTEWATER TREATMENT PLANT,1801 N CONGRESS AVE,DELRAY BEACH,PALM BEACH,FL,33445,NA,,221320
26.612706,-80.067471,TOM G SMITH MUNICIPAL POWER P LANT & LAKE WORTH WTP,117 COLLEGE ST,LAKE WORTH,PALM BEACH,FL,33460,CITY OF LAKE WORTH,CITY OF LAKE WORTH,221112
26.698606,-80.374872,FLORIDA POWER & LIGHT-WEST COUNTY ENERGY CENTER PLANT,20505 STATE RD 80,LOXAHATCHEE,PALM BEACH,FL,33470,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221112
28.375415,-82.188755,PASCO COGENERATION LP,14850 OLD STATE RD 23,DADE CITY,PASCO,FL,33525,NA,,221119
27.795252,-82.403209,TAMPA ELECTRIC CO BIG BEND POWER STATION,13031 WYANDOTTE RD,APOLLO BEACH,HILLSBOROUGH,FL,33572,TECO ENERGY INC,TECO ENERGY INC,221112
27.938277,-82.439077,TAMPA ELECTRIC CO HOOKERS POINT POWER STATION,1700 HEMLOCK ST,TAMPA,HILLSBOROUGH,FL,33605,TECO ENERGY INC,,221119
27.9073,-82.4164,FJ GANNON STATION,3602 PORT SUTTON RD,TAMPA,HILLSBOROUGH,FL,33619,TECO ENERGY INC,,221122
27.862009,-82.601185,DUKE ENERGY FLORIDA LLC-PL BARTOW POWER PLANT,1601 WEEDON ISLAND DR,SAINT PETERSBURG,PINELLAS,FL,33702,DUKE ENERGY CORP,DUKE ENERGY CORP,221112
28.04914,-81.92377,CHARLES LARSEN MEMORIAL POWER PLANT,2002 E HWY 92,LAKELAND,POLK,FL,33801,NA,,221112
28.0816,-81.9253,CD MCINTOSH JR POWER PLANT,3030 E LAKE PARKER DR,LAKELAND,POLK,FL,33805,CITY OF LAKELAND LAKELAND ELECTRIC,CITY OF LAKELAND LAKELAND ELECTRIC,221112
28.054818,-81.805652,AUBURNDALE ENERGY COMPLEX,1501 W DERBY AVE,AUBURNDALE,POLK,FL,33823,CALPINE CORP,,221112
28.054818,-81.805652,QUANTUM AUBURNDALE POWER LP,1501 W DERBY AVE,AUBURNDALE,POLK,FL,33823,QUANTUM UTILITY GENERATION,QUANTUM UTILITY GENERATION,221112
27.84798,-81.88134,HINES ENERGY COMPLEX,CR 555; 25MI S OF CR 640,BARTOW,POLK,FL,33830,FLORIDA PROGRESS CORP,,221112
27.849794,-81.877032,MULBERRY COGENERATION FACILITY,3600 HWY 555,BARTOW,POLK,FL,33830,POLK POWER PARTNERS LP,,221112
27.78869,-81.871226,PROGRESS ENERGY FLORIDA INC. - HINES ENERGY COMPLEX,7700 COUNTY ROAD 555 S,BARTOW,POLK,FL,33830,PROGRESS ENERGY FLORIDA INC,,221112
27.6364,-81.9636,HARDEE POWER STATION,6695 N COUNTY RD 663,BOWLING GREEN,HARDEE,FL,33834,HARDEE POWER PARTNERS LTD,,221121
27.640506,-81.961991,SECI MIDULLA GENERATING STATION,6697 N COUNTY RD 663,BOWLING GREEN,HARDEE,FL,33834,SEMINOLE ELECTRIC COOPERATIVE,SEMINOLE ELECTRIC COOPERATIVE,221112
28.263919,-81.548799,DUKE ENERGY FLORIDA LLC-INTERCESSION CITY POWER PLANT,6525 OSCEOLA POLK COUNTY LINE RD,INTERCESSION CITY,OSCEOLA,FL,33848,DUKE ENERGY CORP,DUKE ENERGY CORP,221112
28.275781,-81.532824,CANE ISLAND POWER PARK,6075 OLD TAMPA HIGHWAY,INTERCESSION CITY,OSCEOLA,FL,33848,KISSIMMEE UTILITY AUTHORITY,,221111
27.727015,-81.989774,TAMPA ELECTRIC CO POLK POWER STATION,9995 STATE RD 37 S,MULBERRY,POLK,FL,33860,TECO ENERGY INC,TECO ENERGY INC,221112
27.524208,-81.923849,IPS VANDOLAH POWER,2394 VANDOLAH RD,WAUCHULA,HARDEE,FL,33873,NORTHERN STAR GENERATION LLC,NORTHERN STAR GENERATION LLC,221112
26.6967,-81.7831,FORT MYERS POWER PLANT,10650 SR 80,FORT MYERS,LEE,FL,33905,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221112
27.4452,-81.36327,TAMPA ELECTRIC CO J.H. PHILLIPS STATION,7301 HAYWOOD TAYLOR BLVD,SEBRING,HIGHLANDS,FL,33876,TECO ENERGY INC,,221112
27.6056,-82.3463,FLORIDA POWER & LIGHT CO FPL MANATEE POWER PLANT,19050 STATE RD 62,PARRISH,MANATEE,FL,34219,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221112
28.23029,-82.167239,MEMCOR FLORIDA OPERATIONS,2 AIRPORT RD,ZEPHYRHILLS,PASCO,FL,33540,E-SYSTEMS INC,,221320
27.22705,-81.80952,DESOTO GENERATING CO LLC,3800 ROAN ST  NE,ARCADIA,DESOTO,FL,34266,DESOTO GENERATING CO LLC,,221119
28.9628,-82.6928,DUKE ENERGY FLORIDA LLC-CRYSTAL RIVER POWER PLANT,15760 W POWERLINE ST,CRYSTAL RIVER,CITRUS,FL,34428,DUKE ENERGY CORP,DUKE ENERGY CORP,221112
28.582031,-82.431087,"FLORIDA POWER DEVELOPMENT, LLC",10311 CEMENT PLANT ROAD,BROOKSVILLE,HERNANDO,FL,34601,JP MORGAN,JP MORGAN,221117
28.365789,-82.558503,SHADY HILLS GENERATING STATION,14240 MERCHANT ENERGY WAY,SHADY HILLS,PASCO,FL,34610,SHADY HILLS POWER CO LLC,,221112
28.183933,-82.788122,DUKE ENERGY FLORIDA INC-ANCLOTE POWER PLANT,1729 BAILLIES BLUFF RD,HOLIDAY,PASCO,FL,34691,DUKE ENERGY CORP,DUKE ENERGY CORP,221112
28.142222,-81.076389,RELIANT ENERGY OSCEOLA POWER P LANT,U.S. HWY 192 7 44,SAINT CLOUD,OSCEOLA,FL,34773,RELIANT ENERGY FLORIDA LLC,,221112
27.450654,-80.324207,H D KING POWER PLANT,311 NORTH INDIAN RIVER DR,FORT PIERCE,ST LUCIE,FL,34950,NA,,221119
27.05558,-80.56459,FPL-MARTIN PLANT,21900 SW WARFIELD BLVD STATE RT 710,INDIANTOWN,MARTIN,FL,34956,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221112
27.039167,-80.514722,INDIANTOWN COGENERATION LP,13303 SW SILVER FOX LN,INDIANTOWN,MARTIN,FL,34956,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221112
27.595884,-80.78722,OKEECHOBEE CLEAN ENERGY CENTER,3193 NE 366TH TRAIL,OKEECHOBEE,OKEECHOBEE,FL,34972,NEXTERA ENERGY INC,NEXTERA ENERGY INC,221112
27.388854,-80.374815,TREASURE COAST ENERGY CENTER,4545 ENERGY LANE,FORT PIERCE,ST LUCIE,FL,34981,FLORIDA MUNICIPAL POWER AGENCY,,221112
34.19694,-86.75201,US TVA EAST POINT 500 KV SUBSTATION,226 CR 1611,CULLMAN,CULLMAN,AL,35058,US TENNSESSEE VALLEY AUTHORITY,,221111
33.6331,-87.0597,MILLER STEAM PLANT,4250 PORTER RD,QUINTON,JEFFERSON,AL,35130,SOUTHERN CO,SOUTHERN CO,221112
33.243803,-86.459093,E C GASTON ELECTRIC GENERATING PLANT,31972 HIGHWAY 25,WILSONVILLE,SHELBY,AL,35186,SOUTHERN CO,SOUTHERN CO,221112
33.644855,-87.19986,GORGAS STEAM PLANT,460 GORGAS RD,PARRISH,WALKER,AL,35580,SOUTHERN CO,SOUTHERN CO,221112
34.60817,-87.05618,US TVA TRINITY 500KV SUBSTATION,395 WOODALL RD,DECATUR,MORGAN,AL,35601,US TENNESSEE VALLEY AUTHORITY,,221122
34.702899,-87.1225,US TVA BROWNS FERRY NUCLEAR PLANT,10835 SHAW RD,ATHENS,LIMESTONE,AL,35611,US TENNESSEE VALLEY AUTHORITY,US TENNESSEE VALLEY AUTHORITY,221113
34.7415,-87.84796,US TVA COLBERT FOSSIL PLANT,900 COLBERT STEAM PLANT RD,TUSCUMBIA,COLBERT,AL,35674,US TENNESSEE VALLEY AUTHORITY,US TENNESSEE VALLEY AUTHORITY,221112
34.709162,-85.927699,U.S. TVA BELLEFONTE NUCLEAR PLANT,2744 BELLEFONTE ROAD,HOLLYWOOD,JACKSON,AL,35752,US TENNESSEE VALLEY AUTHORITY,,221113
34.883314,-85.755278,US TVA WIDOWS CREEK FOSSIL PLANT,2800 STEAM PLANT RD,STEVENSON,JACKSON,AL,35772,US TENNESSEE VALLEY AUTHORITY,US TENNESSEE VALLEY AUTHORITY,221112
34.795321,-86.521668,U.S. TVA MADISON 500KV SUBSTATION,380 SHIELDS RD,HUNTSVILLE,MADISON,AL,35811,US TENNESSEE VALLEY AUTHORITY,,221111
34.01272,-85.97005,GADSDEN STEAM PLANT,1000 GOODYEAR AVE,GADSDEN,ETOWAH,AL,35903,SOUTHERN CO,SOUTHERN CO,221112
34.363389,-86.223889,ALBERTVILLE WATER PLANT,600 WATER PLANT RD,ALBERTVILLE,MARSHALL,AL,35950,MUNICIPAL UTILITIES BOARD,,221310
34.266299,-86.226625,WESTSIDE WASTEWATER TREATMENT PLANT,HALF SECTION LINE RD,ALBERTVILLE,MARSHALL,AL,35950,MUNICIPAL UTILITIES BOARD,,221320
32.65321,-86.73894,TENASKA ALABAMA PARTNERS LP,3405 COUNTY RD 26,BILLINGSLEY,AUTAUGA,AL,36006,NA,NA,221112
33.588325,-85.972025,CALHOUN POWER CO LLC,720 GREEN VALLEY DR,EASTABOGA,CALHOUN,AL,36260,EAST ALABAMA GENERATING LLC,EAST ALABAMA GENERATING LLC,221112
31.2624,-85.40439,DOMCO ENERGY INC,517 DRAFT AVE,DOTHAN,HOUSTON,AL,36303,DOTHAN OIL MILL CO INC,,221112
